,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Feature 22,Feature 23,Feature 24,Feature 25,Feature 26,Feature 27,Feature 28,Feature 29,Feature 30,Feature 31,Feature 32,Feature 33,Feature 34,Feature 35,Feature 36,Feature 37,Feature 38,Feature 39,Feature 40,Feature 41,Feature 42,Feature 43,Feature 44,Feature 45,Feature 46,Feature 47,Feature 48,Feature 49,Feature 50,Feature 51,Feature 52,Feature 53,Feature 54,Feature 55,Feature 56,Feature 57,Feature 58,Feature 59,Feature 60,Feature 61,Feature 62,Feature 63,Feature 64,Feature 65,Feature 66,Feature 67,Feature 68,Feature 69,Feature 70,Feature 71,Feature 72,Feature 73,Feature 74,Feature 75,Feature 76,Feature 77,Feature 78,Feature 79,Feature 80,Feature 81,Feature 82,Feature 83,Feature 84,Feature 85,Feature 86,Feature 87,Feature 88,Feature 89,Feature 90,Feature 91,Feature 92,Feature 93,Feature 94,Feature 95,Feature 96,Feature 97,Feature 98,Feature 99,Feature 100,Feature 101,Feature 102,Feature 103,Feature 104,Feature 105,Feature 106,Feature 107,Feature 108
P 1,purchases,total_customer_type,total_customer_type,revenue,order_type_renewal,predicted_future_ltr_10yr,"COLOR_WHERE_\at_home\""""",pages_notloggedin,"GRAY_LEVEL_\more_than_50\""""",FREQUENCY_4,pages_account,utm_bronto,device_desktop,FREQUENCY_3,"COMFORT_LEVEL_\very_comfortable\""""",pages_hair-color,customer_type_color,pages_learn-more,FREQUENCY_5,"GRAY_LEVEL_\all\""""",FREQUENCY_2,medium_email,browser_firefox,visit_count,browser_ie,"NATURAL_HAIR_COLOR_\brown\""""","HAIR_COLOR_\brown\""""","COMFORT_LEVEL_\comfortable\""""",device_tablet,pages_landing,pages_other,"HAIR_COLOR_\red\""""",browser_chrome,"DO_WITH_HAIR_\highlight_only\""""",pages_color-translator,pages_about,"NATURAL_HAIR_COLOR_\red\""""",pages_support,pages_compare-shades,medium_organic,pages_faqs,"DO_WITH_HAIR_\touch_up\""""",pages_hair-colorist,medium_none,utm_direct,FREQUENCY_6,pages_blog,customer_type_colorbar,utm_other,pages_refer,total_pages,utm_google,pages_shop,pages_hair-dye-ingredients,browser_safari,country,medium_cpc,city,pages_product,pages_membership,pages_share,utm_iterable,pages_email-unsubscribe,pages_how-to-color-your-hair,"NATURAL_HAIR_COLOR_\black\""""",FREQUENCY_other,pages_shopping,"GRAY_LEVEL_\not_sure\""""",latitude,visitor_age,pages_color-advisor,pages_colorbar,pages_hair-color-chart,"HAIR_COLOR_\black\""""",browser_other,FREQUENCY_7,"DO_WITH_HAIR_\change\""""","DO_WITH_HAIR_\color_and_highlights\""""","COLOR_WHERE_\salon_and_home\""""","GRAY_LEVEL_\less_than_50\""""",FREQUENCY_12,"DO_WITH_HAIR_\not_sure\""""",pages_search,longitude,avg_session_length,state,pages_signIn,customer_type_other,pages_checkout,customer_type_rootreboot,pages_cart,medium_other,pages_confirmation,"COMFORT_LEVEL_\not_comfortable\""""","NATURAL_HAIR_COLOR_\blonde\""""","COMFORT_LEVEL_\somewhat_comfortable\""""",pages_welcome,"HAIR_COLOR_\blonde\""""",customer_type_gloss,medium_fbigan,utm_facebook,browser_facebook,order_type_subscription,device_mobile,"GRAY_LEVEL_\no_gray\""""","COLOR_WHERE_\at_salon\""""",FREQUENCY_8,order_type_one-time
P 2,utm_facebook,browser_facebook,pages_welcome,medium_fbigan,medium_other,device_mobile,pages_shop,pages_color-advisor,visitor_age,order_type_renewal,"COLOR_WHERE_\at_home\""""",purchases,pages_compare-shades,customer_type_color,visit_count,revenue,predicted_future_ltr_10yr,"NATURAL_HAIR_COLOR_\brown\""""",order_type_subscription,"DO_WITH_HAIR_\change\""""","GRAY_LEVEL_\less_than_50\""""","COMFORT_LEVEL_\very_comfortable\""""","DO_WITH_HAIR_\touch_up\""""","GRAY_LEVEL_\more_than_50\""""","COMFORT_LEVEL_\comfortable\""""",total_customer_type,total_order_type,"HAIR_COLOR_\red\""""",browser_other,"HAIR_COLOR_\blonde\""""","DO_WITH_HAIR_\not_sure\""""",FREQUENCY_6,FREQUENCY_3,"COLOR_WHERE_\salon_and_home\""""",total_pages,FREQUENCY_2,"NATURAL_HAIR_COLOR_\red\""""","NATURAL_HAIR_COLOR_\black\""""","GRAY_LEVEL_\all\""""",state,FREQUENCY_5,"NATURAL_HAIR_COLOR_\blonde\""""",country,utm_other,FREQUENCY_4,pages_color-translator,"DO_WITH_HAIR_\color_and_highlights\""""",pages_product,pages_search,FREQUENCY_7,pages_landing,"COLOR_WHERE_\at_salon\""""","COMFORT_LEVEL_\somewhat_comfortable\""""","DO_WITH_HAIR_\highlight_only\""""","HAIR_COLOR_\black\""""",device_tablet,pages_hair-color-chart,FREQUENCY_8,city,longitude,pages_email-unsubscribe,"GRAY_LEVEL_\not_sure\""""",pages_membership,pages_hair-colorist,customer_type_rootreboot,pages_blog,"HAIR_COLOR_\brown\""""",pages_hair-dye-ingredients,"COMFORT_LEVEL_\not_comfortable\""""",pages_support,pages_colorbar,avg_session_length,latitude,pages_how-to-color-your-hair,pages_faqs,pages_other,pages_refer,pages_about,pages_share,FREQUENCY_12,pages_hair-color,customer_type_colorbar,FREQUENCY_other,"GRAY_LEVEL_\no_gray\""""",pages_shopping,customer_type_other,pages_learn-more,medium_cpc,pages_notloggedin,customer_type_gloss,browser_ie,browser_firefox,medium_organic,pages_account,utm_bronto,utm_google,utm_iterable,order_type_one-time,medium_email,pages_cart,browser_chrome,pages_signIn,browser_safari,device_desktop,pages_confirmation,pages_checkout,utm_direct,medium_none
P 3,medium_email,utm_google,utm_iterable,device_desktop,medium_organic,medium_cpc,browser_chrome,pages_product,pages_shopping,utm_bronto,pages_shop,visitor_age,visit_count,pages_blog,browser_ie,pages_color-advisor,pages_email-unsubscribe,pages_colorbar,pages_compare-shades,customer_type_colorbar,utm_other,browser_firefox,pages_learn-more,"HAIR_COLOR_\brown\""""",pages_how-to-color-your-hair,order_type_one-time,pages_other,pages_hair-color,pages_hair-color-chart,total_pages,pages_hair-colorist,pages_support,customer_type_rootreboot,pages_account,"GRAY_LEVEL_\more_than_50\""""",pages_landing,pages_notloggedin,pages_faqs,"GRAY_LEVEL_\all\""""",customer_type_gloss,pages_membership,FREQUENCY_4,FREQUENCY_other,FREQUENCY_5,pages_hair-dye-ingredients,"COLOR_WHERE_\at_salon\""""",customer_type_other,pages_refer,pages_color-translator,FREQUENCY_3,"DO_WITH_HAIR_\touch_up\""""",pages_about,FREQUENCY_12,latitude,"NATURAL_HAIR_COLOR_\brown\""""",pages_search,city,"DO_WITH_HAIR_\not_sure\""""","COLOR_WHERE_\salon_and_home\""""","COMFORT_LEVEL_\somewhat_comfortable\""""",longitude,FREQUENCY_2,"GRAY_LEVEL_\not_sure\""""","COMFORT_LEVEL_\not_comfortable\""""","NATURAL_HAIR_COLOR_\red\""""",FREQUENCY_7,FREQUENCY_6,order_type_subscription,"HAIR_COLOR_\blonde\""""","NATURAL_HAIR_COLOR_\black\""""",pages_share,country,"DO_WITH_HAIR_\highlight_only\""""","DO_WITH_HAIR_\color_and_highlights\""""","HAIR_COLOR_\red\""""","NATURAL_HAIR_COLOR_\blonde\""""","GRAY_LEVEL_\less_than_50\""""","HAIR_COLOR_\black\""""",state,device_tablet,"COMFORT_LEVEL_\comfortable\""""","COMFORT_LEVEL_\very_comfortable\""""","COLOR_WHERE_\at_home\""""",FREQUENCY_8,browser_other,"DO_WITH_HAIR_\change\""""",avg_session_length,"GRAY_LEVEL_\no_gray\""""",total_order_type,total_customer_type,revenue,predicted_future_ltr_10yr,medium_other,order_type_renewal,purchases,pages_welcome,browser_safari,customer_type_color,medium_fbigan,utm_facebook,pages_cart,browser_facebook,pages_signIn,device_mobile,pages_confirmation,pages_checkout,medium_none,utm_direct
P 4,device_desktop,medium_other,browser_chrome,browser_ie,order_type_one-time,utm_other,utm_facebook,browser_firefox,pages_landing,pages_notloggedin,utm_google,medium_organic,pages_welcome,avg_session_length,pages_hair-color,customer_type_gloss,pages_account,medium_cpc,pages_checkout,pages_learn-more,FREQUENCY_other,pages_confirmation,FREQUENCY_12,FREQUENCY_4,utm_bronto,pages_share,browser_facebook,"HAIR_COLOR_\blonde\""""",total_order_type,total_customer_type,pages_shop,medium_fbigan,"NATURAL_HAIR_COLOR_\blonde\""""",pages_color-advisor,pages_about,"NATURAL_HAIR_COLOR_\red\""""","HAIR_COLOR_\black\""""",latitude,"GRAY_LEVEL_\all\""""",medium_none,customer_type_rootreboot,utm_direct,pages_refer,"GRAY_LEVEL_\not_sure\""""",total_pages,"HAIR_COLOR_\red\""""",customer_type_other,pages_color-translator,browser_other,pages_other,"GRAY_LEVEL_\no_gray\""""",FREQUENCY_3,"NATURAL_HAIR_COLOR_\black\""""",FREQUENCY_2,pages_faqs,purchases,longitude,country,city,"DO_WITH_HAIR_\not_sure\""""",pages_hair-dye-ingredients,FREQUENCY_5,pages_hair-color-chart,revenue,"DO_WITH_HAIR_\highlight_only\""""",FREQUENCY_7,"GRAY_LEVEL_\more_than_50\""""",FREQUENCY_6,state,pages_signIn,pages_how-to-color-your-hair,pages_support,device_tablet,"DO_WITH_HAIR_\color_and_highlights\""""",pages_search,"COMFORT_LEVEL_\not_comfortable\""""",customer_type_colorbar,pages_colorbar,pages_hair-colorist,"COLOR_WHERE_\salon_and_home\""""","DO_WITH_HAIR_\touch_up\""""",pages_shopping,customer_type_color,order_type_renewal,"COLOR_WHERE_\at_salon\""""",pages_cart,visit_count,pages_blog,pages_membership,"COMFORT_LEVEL_\very_comfortable\""""",pages_product,"HAIR_COLOR_\brown\""""",predicted_future_ltr_10yr,pages_compare-shades,"COMFORT_LEVEL_\somewhat_comfortable\""""",FREQUENCY_8,visitor_age,"COLOR_WHERE_\at_home\""""","COMFORT_LEVEL_\comfortable\""""",pages_email-unsubscribe,"GRAY_LEVEL_\less_than_50\""""","DO_WITH_HAIR_\change\""""",order_type_subscription,"NATURAL_HAIR_COLOR_\brown\""""",device_mobile,browser_safari,medium_email,utm_iterable
P 5,"DO_WITH_HAIR_\change\""""",utm_google,customer_type_color,medium_cpc,pages_color-advisor,utm_direct,medium_none,medium_organic,"GRAY_LEVEL_\no_gray\""""",pages_product,FREQUENCY_8,"COMFORT_LEVEL_\comfortable\""""",pages_shop,"COLOR_WHERE_\at_home\""""",order_type_subscription,"NATURAL_HAIR_COLOR_\blonde\""""","COMFORT_LEVEL_\very_comfortable\""""","HAIR_COLOR_\blonde\""""",pages_hair-color-chart,pages_compare-shades,visit_count,"HAIR_COLOR_\red\""""",browser_chrome,pages_search,"COMFORT_LEVEL_\somewhat_comfortable\""""",device_mobile,pages_how-to-color-your-hair,pages_other,predicted_future_ltr_10yr,state,"NATURAL_HAIR_COLOR_\red\""""",pages_support,pages_learn-more,pages_colorbar,pages_account,total_pages,pages_hair-color,latitude,pages_faqs,browser_safari,"GRAY_LEVEL_\less_than_50\""""","COMFORT_LEVEL_\not_comfortable\""""",pages_color-translator,pages_hair-dye-ingredients,"DO_WITH_HAIR_\color_and_highlights\""""",longitude,visitor_age,"NATURAL_HAIR_COLOR_\brown\""""",pages_notloggedin,"DO_WITH_HAIR_\not_sure\""""",pages_about,browser_other,pages_blog,FREQUENCY_7,"DO_WITH_HAIR_\highlight_only\""""",pages_refer,pages_membership,country,FREQUENCY_6,order_type_renewal,city,FREQUENCY_12,FREQUENCY_other,"GRAY_LEVEL_\not_sure\""""",pages_hair-colorist,pages_landing,total_order_type,total_customer_type,device_tablet,"COLOR_WHERE_\salon_and_home\""""",revenue,utm_other,purchases,FREQUENCY_5,customer_type_other,browser_firefox,customer_type_colorbar,pages_share,browser_ie,"GRAY_LEVEL_\all\""""",FREQUENCY_2,pages_welcome,device_desktop,pages_email-unsubscribe,"HAIR_COLOR_\black\""""",pages_shopping,avg_session_length,"NATURAL_HAIR_COLOR_\black\""""",medium_fbigan,order_type_one-time,browser_facebook,FREQUENCY_4,FREQUENCY_3,pages_signIn,"COLOR_WHERE_\at_salon\""""",medium_other,"HAIR_COLOR_\brown\""""","GRAY_LEVEL_\more_than_50\""""",utm_facebook,utm_bronto,pages_cart,customer_type_gloss,pages_confirmation,customer_type_rootreboot,"DO_WITH_HAIR_\touch_up\""""",pages_checkout,utm_iterable,medium_email
P 6,utm_direct,medium_none,visit_count,pages_shopping,customer_type_gloss,customer_type_rootreboot,browser_safari,customer_type_colorbar,device_tablet,order_type_one-time,pages_product,pages_colorbar,"COLOR_WHERE_\at_salon\""""","HAIR_COLOR_\brown\""""",customer_type_other,pages_color-advisor,pages_account,pages_shop,pages_notloggedin,pages_learn-more,total_pages,pages_hair-color,"DO_WITH_HAIR_\touch_up\""""",pages_support,FREQUENCY_4,pages_other,FREQUENCY_3,"GRAY_LEVEL_\more_than_50\""""",visitor_age,pages_blog,"DO_WITH_HAIR_\highlight_only\""""",pages_welcome,FREQUENCY_other,pages_compare-shades,pages_faqs,"GRAY_LEVEL_\all\""""",revenue,pages_how-to-color-your-hair,pages_color-translator,pages_about,"COMFORT_LEVEL_\not_comfortable\""""",pages_hair-dye-ingredients,FREQUENCY_12,total_order_type,total_customer_type,pages_search,FREQUENCY_2,device_mobile,pages_hair-colorist,city,utm_bronto,"GRAY_LEVEL_\not_sure\""""",FREQUENCY_5,pages_landing,browser_facebook,pages_hair-color-chart,medium_fbigan,"COLOR_WHERE_\salon_and_home\""""",purchases,longitude,"DO_WITH_HAIR_\not_sure\""""",FREQUENCY_7,browser_other,pages_refer,pages_email-unsubscribe,"COMFORT_LEVEL_\somewhat_comfortable\""""",browser_firefox,utm_facebook,pages_membership,"DO_WITH_HAIR_\color_and_highlights\""""",latitude,"NATURAL_HAIR_COLOR_\brown\""""","NATURAL_HAIR_COLOR_\black\""""",browser_ie,pages_share,"NATURAL_HAIR_COLOR_\red\""""",country,FREQUENCY_6,"GRAY_LEVEL_\no_gray\""""",state,"HAIR_COLOR_\black\""""",predicted_future_ltr_10yr,order_type_renewal,"HAIR_COLOR_\red\""""","HAIR_COLOR_\blonde\""""",medium_other,"NATURAL_HAIR_COLOR_\blonde\""""",utm_other,medium_organic,"COMFORT_LEVEL_\comfortable\""""","GRAY_LEVEL_\less_than_50\""""","COMFORT_LEVEL_\very_comfortable\""""",device_desktop,FREQUENCY_8,pages_signIn,medium_email,order_type_subscription,medium_cpc,utm_iterable,utm_google,"DO_WITH_HAIR_\change\""""",browser_chrome,"COLOR_WHERE_\at_home\""""",pages_cart,avg_session_length,pages_confirmation,pages_checkout,customer_type_color
P 7,medium_email,utm_bronto,"HAIR_COLOR_\blonde\""""","NATURAL_HAIR_COLOR_\blonde\""""",customer_type_color,utm_iterable,pages_notloggedin,visit_count,pages_product,pages_account,"GRAY_LEVEL_\no_gray\""""",pages_hair-color,pages_landing,"HAIR_COLOR_\red\""""","NATURAL_HAIR_COLOR_\red\""""",FREQUENCY_other,order_type_subscription,browser_firefox,pages_email-unsubscribe,medium_other,browser_ie,FREQUENCY_12,device_desktop,medium_none,utm_direct,total_pages,pages_learn-more,browser_other,pages_share,pages_shop,"DO_WITH_HAIR_\not_sure\""""",FREQUENCY_4,visitor_age,"NATURAL_HAIR_COLOR_\black\""""","HAIR_COLOR_\black\""""",pages_other,pages_blog,utm_facebook,utm_other,device_tablet,pages_compare-shades,"DO_WITH_HAIR_\highlight_only\""""","DO_WITH_HAIR_\change\""""",pages_welcome,pages_hair-colorist,pages_membership,pages_refer,"DO_WITH_HAIR_\color_and_highlights\""""","COMFORT_LEVEL_\very_comfortable\""""",pages_support,state,"GRAY_LEVEL_\all\""""",FREQUENCY_6,"COLOR_WHERE_\at_home\""""",pages_faqs,country,total_order_type,total_customer_type,pages_about,pages_color-translator,"GRAY_LEVEL_\not_sure\""""",order_type_renewal,browser_facebook,longitude,FREQUENCY_7,city,latitude,pages_hair-dye-ingredients,pages_cart,FREQUENCY_8,pages_search,FREQUENCY_5,FREQUENCY_2,"COMFORT_LEVEL_\comfortable\""""",pages_how-to-color-your-hair,"COMFORT_LEVEL_\not_comfortable\""""","COLOR_WHERE_\salon_and_home\""""",browser_chrome,browser_safari,"GRAY_LEVEL_\more_than_50\""""",pages_hair-color-chart,medium_fbigan,customer_type_other,purchases,"COMFORT_LEVEL_\somewhat_comfortable\""""",order_type_one-time,pages_signIn,FREQUENCY_3,customer_type_gloss,device_mobile,revenue,pages_shopping,pages_color-advisor,predicted_future_ltr_10yr,pages_colorbar,pages_checkout,customer_type_colorbar,pages_confirmation,avg_session_length,"GRAY_LEVEL_\less_than_50\""""","COLOR_WHERE_\at_salon\""""","DO_WITH_HAIR_\touch_up\""""",customer_type_rootreboot,medium_organic,"HAIR_COLOR_\brown\""""",medium_cpc,"NATURAL_HAIR_COLOR_\brown\""""",utm_google
P 8,"HAIR_COLOR_\brown\""""","NATURAL_HAIR_COLOR_\brown\""""",device_desktop,"GRAY_LEVEL_\less_than_50\""""",customer_type_color,browser_chrome,pages_account,"DO_WITH_HAIR_\change\""""",medium_none,utm_direct,pages_notloggedin,order_type_subscription,"COLOR_WHERE_\at_home\""""",browser_firefox,"COMFORT_LEVEL_\comfortable\""""",browser_ie,visit_count,medium_other,pages_hair-color,pages_landing,visitor_age,utm_facebook,FREQUENCY_8,browser_other,utm_other,medium_fbigan,FREQUENCY_other,pages_welcome,pages_product,total_pages,pages_refer,pages_other,"COMFORT_LEVEL_\somewhat_comfortable\""""",pages_learn-more,pages_compare-shades,"COMFORT_LEVEL_\very_comfortable\""""",utm_bronto,pages_email-unsubscribe,latitude,FREQUENCY_12,pages_faqs,pages_how-to-color-your-hair,pages_share,FREQUENCY_6,pages_hair-dye-ingredients,FREQUENCY_7,state,medium_email,"COLOR_WHERE_\salon_and_home\""""",country,pages_membership,pages_about,pages_color-translator,city,"DO_WITH_HAIR_\color_and_highlights\""""",browser_facebook,FREQUENCY_5,pages_search,utm_iterable,pages_signIn,pages_colorbar,pages_support,longitude,FREQUENCY_4,pages_shop,"COMFORT_LEVEL_\not_comfortable\""""","GRAY_LEVEL_\not_sure\""""","HAIR_COLOR_\red\""""",pages_hair-color-chart,pages_hair-colorist,order_type_renewal,pages_cart,FREQUENCY_3,FREQUENCY_2,"DO_WITH_HAIR_\not_sure\""""",customer_type_colorbar,pages_blog,pages_color-advisor,"GRAY_LEVEL_\more_than_50\""""","DO_WITH_HAIR_\highlight_only\""""",customer_type_other,pages_confirmation,customer_type_rootreboot,predicted_future_ltr_10yr,pages_checkout,total_order_type,total_customer_type,order_type_one-time,pages_shopping,"NATURAL_HAIR_COLOR_\red\""""","GRAY_LEVEL_\all\""""",avg_session_length,"DO_WITH_HAIR_\touch_up\""""",purchases,device_tablet,"COLOR_WHERE_\at_salon\""""",revenue,"HAIR_COLOR_\black\""""","NATURAL_HAIR_COLOR_\black\""""",medium_organic,customer_type_gloss,device_mobile,"GRAY_LEVEL_\no_gray\""""",medium_cpc,browser_safari,utm_google,"HAIR_COLOR_\blonde\""""","NATURAL_HAIR_COLOR_\blonde\"""""
P 9,customer_type_gloss,"DO_WITH_HAIR_\change\""""",customer_type_colorbar,pages_colorbar,order_type_subscription,browser_chrome,customer_type_other,FREQUENCY_8,"GRAY_LEVEL_\no_gray\""""","NATURAL_HAIR_COLOR_\blonde\""""",device_desktop,pages_shopping,"HAIR_COLOR_\blonde\""""",customer_type_rootreboot,predicted_future_ltr_10yr,"COMFORT_LEVEL_\comfortable\""""","COLOR_WHERE_\at_salon\""""",visit_count,"HAIR_COLOR_\red\""""","COMFORT_LEVEL_\somewhat_comfortable\""""","GRAY_LEVEL_\less_than_50\""""","NATURAL_HAIR_COLOR_\red\""""","COMFORT_LEVEL_\very_comfortable\""""","COMFORT_LEVEL_\not_comfortable\""""",utm_facebook,visitor_age,order_type_renewal,medium_other,medium_fbigan,pages_cart,latitude,total_pages,pages_account,pages_how-to-color-your-hair,pages_signIn,pages_welcome,pages_confirmation,browser_other,"COLOR_WHERE_\at_home\""""",pages_search,pages_other,pages_hair-color-chart,"DO_WITH_HAIR_\highlight_only\""""",utm_other,pages_checkout,"NATURAL_HAIR_COLOR_\brown\""""",pages_product,pages_blog,country,browser_facebook,pages_membership,utm_iterable,browser_firefox,city,revenue,total_order_type,total_customer_type,pages_refer,"GRAY_LEVEL_\not_sure\""""",purchases,"DO_WITH_HAIR_\color_and_highlights\""""",pages_hair-colorist,pages_email-unsubscribe,FREQUENCY_6,pages_notloggedin,state,medium_organic,pages_about,pages_share,pages_faqs,medium_none,utm_direct,FREQUENCY_7,pages_hair-dye-ingredients,pages_support,pages_landing,browser_ie,"DO_WITH_HAIR_\not_sure\""""",medium_email,pages_hair-color,FREQUENCY_5,"COLOR_WHERE_\salon_and_home\""""",longitude,FREQUENCY_other,pages_color-translator,"GRAY_LEVEL_\all\""""",pages_learn-more,FREQUENCY_12,device_mobile,avg_session_length,FREQUENCY_2,pages_compare-shades,FREQUENCY_3,utm_google,utm_bronto,"GRAY_LEVEL_\more_than_50\""""","NATURAL_HAIR_COLOR_\black\""""","HAIR_COLOR_\black\""""",medium_cpc,FREQUENCY_4,device_tablet,"HAIR_COLOR_\brown\""""","DO_WITH_HAIR_\touch_up\""""",pages_color-advisor,order_type_one-time,browser_safari,pages_shop,customer_type_color
P 10,"NATURAL_HAIR_COLOR_\black\""""","HAIR_COLOR_\black\""""","COLOR_WHERE_\at_home\""""",order_type_subscription,pages_colorbar,customer_type_colorbar,visitor_age,"GRAY_LEVEL_\more_than_50\""""",FREQUENCY_2,FREQUENCY_3,browser_chrome,FREQUENCY_4,visit_count,"NATURAL_HAIR_COLOR_\red\""""","COMFORT_LEVEL_\very_comfortable\""""",pages_signIn,"HAIR_COLOR_\red\""""",utm_google,medium_fbigan,"DO_WITH_HAIR_\touch_up\""""",pages_account,utm_direct,medium_none,customer_type_rootreboot,medium_organic,"COMFORT_LEVEL_\comfortable\""""",city,pages_how-to-color-your-hair,"GRAY_LEVEL_\all\""""",pages_refer,pages_welcome,device_mobile,pages_other,total_pages,pages_membership,pages_hair-dye-ingredients,pages_search,device_desktop,pages_shopping,"DO_WITH_HAIR_\change\""""",pages_email-unsubscribe,pages_about,pages_cart,pages_faqs,pages_notloggedin,browser_other,medium_cpc,pages_hair-color-chart,pages_blog,country,utm_facebook,order_type_renewal,"COLOR_WHERE_\salon_and_home\""""",browser_facebook,pages_hair-colorist,pages_support,FREQUENCY_5,pages_color-translator,pages_learn-more,FREQUENCY_6,predicted_future_ltr_10yr,FREQUENCY_12,customer_type_other,"GRAY_LEVEL_\not_sure\""""",FREQUENCY_other,"DO_WITH_HAIR_\color_and_highlights\""""",pages_hair-color,utm_iterable,"GRAY_LEVEL_\less_than_50\""""","COMFORT_LEVEL_\somewhat_comfortable\""""",browser_firefox,customer_type_color,pages_checkout,pages_confirmation,pages_color-advisor,pages_landing,"COMFORT_LEVEL_\not_comfortable\""""",pages_share,FREQUENCY_7,pages_compare-shades,browser_ie,"DO_WITH_HAIR_\not_sure\""""","DO_WITH_HAIR_\highlight_only\""""",latitude,medium_email,pages_shop,pages_product,purchases,revenue,utm_bronto,browser_safari,customer_type_gloss,device_tablet,longitude,avg_session_length,total_customer_type,total_order_type,medium_other,state,"NATURAL_HAIR_COLOR_\blonde\""""",utm_other,order_type_one-time,"HAIR_COLOR_\brown\""""","GRAY_LEVEL_\no_gray\""""",FREQUENCY_8,"HAIR_COLOR_\blonde\""""","COLOR_WHERE_\at_salon\""""","NATURAL_HAIR_COLOR_\brown\"""""
